"Genes"	"regulator"
"PPP2R5A"	0
"ELAVL1"	0
"TIE1"	0
"DIP2B"	0
"SMARCD1"	1
"KDM4A"	0
"NFYC"	1
"ZMYND12"	0
"SLC9A3"	0
"NGEF"	0
"ASPM"	0
"CD84"	0
"ELOVL1"	0
"SPI1"	1
"POLR1H"	0
"MPPED2"	0
"CLDN18"	0
"ZBTB11"	1
"ATXN3"	0
"GOLGA5"	0
"FGFR2"	0
"LRRC40"	0
"ISOC1"	0
"EML1"	0
"TRMT11"	0
"THUMPD1"	0
"MSANTD3"	0
"KIF26A"	0
"ATG2B"	0
"ARFGEF1"	0
"ZFAT"	1
"MTFR1"	0
"STAG3"	0
"FECH"	0
"MYO9A"	0
"PFKP"	0
"IDI1"	0
"SP100"	1
"KLF6"	1
"PLPP1"	0
"NEO1"	0
"TRAM1"	0
"PHKA1"	0
"TNFRSF1A"	0
"CACNB1"	0
"EVI5"	0
"STOML1"	0
"PKM"	0
"DHX29"	0
"DNTTIP2"	0
"METTL22"	0
"TP53BP1"	0
"TRO"	0
"RRP15"	0
"RHOA"	0
"DHX8"	0
"PMS2P4"	0
"PRKCZ"	0
"IARS2"	0
"SYT1"	0
"NAV3"	0
"IDH3G"	0
"ROGDI"	0
"PDZD4"	0
"ROCK1"	0
"CBFB"	1
"PDK3"	0
"HYAL2"	0
"HDAC4"	0
"RASSF1"	0
"FGFR3"	0
"IFI35"	0
"HEATR6"	0
"COASY"	0
"PLEKHH3"	0
"MEF2A"	1
"OTUD5"	0
"TFE3"	1
"TBC1D25"	0
"ACSL4"	0
"INPP5A"	0
"GPKOW"	0
"GRIPAP1"	0
"FTSJ1"	0
"PRR11"	0
"REEP1"	0
"ATP11A"	0
"POLR1A"	0
"LAPTM4A"	0
"TTC7A"	0
"IP6K2"	0
"SRBD1"	0
"KIF2A"	0
"RASGRP2"	0
"PSME4"	0
"IFT80"	0
"SIRT2"	0
"ERLEC1"	0
"PPP2R5B"	0
"PYGM"	0
"PITX1"	1
"MAST4"	0
"ADGRF5"	0
"SDK2"	0
"NUP133"	0
"NUCKS1"	0
"VPS35"	0
"DNAJA2"	0
"BCL3"	1
"KCNAB2"	0
"ABCC9"	0
"GAL"	0
"CLEC2D"	0
"FUNDC1"	0
"MAOB"	0
"RORA"	1
"DRD4"	0
"TGFBR3"	0
"HES2"	1
"ATP1B3"	0
"NEDD4"	0
"PIGB"	0
"MAPK6"	0
"GNB5"	0
"RAB27A"	0
"HDHD5"	0
"UFD1"	0
"LRP6"	0
"GUCY2C"	0
"PHRF1"	0
"ELP1"	0
"NUCB2"	0
"PFN2"	0
"PTPN3"	0
"SPTB"	0
"DAPP1"	0
"SLC44A1"	0
"TMEM260"	0
"SMG6"	0
"EXOC5"	0
"CLTCL1"	0
"FSTL3"	0
"DGCR2"	0
"RNF126"	0
"MNT"	1
"ZXDC"	1
"JMJD6"	0
"POLB"	0
"ST6GALNAC1"	0
"WIPI1"	0
"GBA2"	0
"NDST1"	0
"ASNS"	0
"AP3M2"	0
"CNGB1"	0
"ST6GALNAC2"	0
"PABPC1"	0
"TESK2"	0
"CFAP20"	0
"CSNK2A2"	0
"PTPN21"	0
"EIF2B3"	0
"CAMK2A"	0
"TCOF1"	0
"CDC42"	0
"OSBPL3"	0
"RAD18"	0
"ATP2B1"	0
"NCK2"	0
"MAP4K4"	0
"MGAT4A"	0
"RPL31"	0
"WDR1"	0
"SNX13"	0
"ARHGAP10"	0
"RPS6KA2"	0
"ING3"	0
"VASH1"	0
"LMCD1"	0
"BUD23"	0
"SEL1L"	0
"TRIP13"	0
"ATP6AP1"	0
"TCF3"	1
"TRIB2"	0
"DAZAP1"	0
"MBD3"	1
"HLTF"	1
"FAM50A"	0
"FAM3A"	0
"CPSF1"	0
"MYO3B"	0
"CYBRD1"	0
"PDCD2"	0
"SLC6A15"	0
"RDH11"	0
"PRKACA"	0
"ADGRL1"	0
"ACTN1"	0
"ZFYVE26"	1
"RPS6KA6"	0
"EPN2"	0
"PTPN18"	0
"LIMS2"	0
"SPEG"	0
"LNX1"	0
"ALDH3A2"	0
"TFRC"	0
"SREBF1"	1
"AFF4"	1
"UBE2D1"	0
"MPP5"	0
